Feature_ID,007_12_Desoxydiacetylpyxinol,004_Acetylportentol,008_12_Desoxypyxinol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,012_Caperatic_acid
1760,24,27,20,20,19,16
1761,,,,,,
1765,,,,37,,
1766,,,,,,
1767,,,,,,
1771,,,,3,,
1775,,,,,,
1776,,,,,,
1777,,,,,,
1781,,,,,,
1782,,,,8,,
1783,,,,,,
1786,,,,,,
1788,,,,,,
1789,,,,39,,
1790,,,,,,
1793,,,,,,
1794,,,,,,
1795,,,,,,
1796,,,,,,
1797,,,,8,,
1798,,,,,,
1800,32,,32,,37,36
1801,,,,,,
1803,,,,,,
1804,,,,,,
1805,,,,,,
1808,,,,,,
1809,,,,,,
1810,,,,,,
1813,,,,,,
1814,,,,,,
1815,,,,,,
1817,,,,,,
1818,,,,,,
1820,,,,1,,
1821,,,,,,
1822,,,,,,
1823,16,19,24,24,22,26
1824,,,,,,
1827,,,,,,
1829,,,,,,
1830,,,,,,
1831,,,,,,
1835,,,,,,
1839,,,,,,
1840,,,,,,
1843,,,,,,
1845,,,,,,
1849,,,,,,
1850,,,,,,
1851,,,,,,
1853,,,,34,,
1854,10,8,9,30,7,20
1855,,,,,,
1856,,,,18,,
1858,,,,,,
1861,,,,,,
1862,,,,28,,21
1863,,,,,,
1864,,,,,,
1865,,,,,,
1868,,,,1,,
1869,,,,,,
1870,,,,,,
1871,,,,28,,
1873,,,,,,
1874,27,24,31,38,31,25
1875,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,,,,,
1882,,,,,,
1883,,,,,,
1885,,,,,,
1886,,,,,,
1888,11,10,11,10,17,10
1890,,,,,,
1892,,,,12,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1897,,,,40,,
1898,,,,,,
1899,,,,,,
1900,,,,,,
1901,,,,22,,
1902,,,,,,
1903,,,,31,,
1905,,,,,,
1907,,,,,,
1910,,,,,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,12,,
1915,,,,,,
1916,,,,,,
1919,,,,,,
1923,16,19,24,24,22,26
1925,,,,,,
1926,,,,,,
1928,,,,,,
1929,,,,,,
1931,,,,,,
1932,,,,,,
1934,,,,,,
1935,,,,,,
1936,,,,,,
1937,,,,22,,
1938,,,,,,
1940,,,,,,
1942,,,,,,
1943,,,,,,
1944,,,,,,
1946,,,,,,
1947,,,,,,
1948,,,,,,
1949,,,,,,
1950,,,,,,
1951,,,,40,,
1953,,,,,,
1954,,,,22,,
1955,,,,,,
1957,,,,,,
1960,,,,17,,
1963,,,,,,
1964,31,39,33,36,34,35
1965,,,,,,
1966,,,,,,
1967,,,,3,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,29,,
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1979,,,,,,
