Feature_ID,007_12_Desoxydiacetylpyxinol,004_Acetylportentol,008_12_Desoxypyxinol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,012_Caperatic_acid
591,,227.188,227.188,227.188,227.188,227.188
592,,,,,,
595,,,,,,
596,,114.0053,,,,
599,,,,,,
601,,368.183,,,,
603,81.061,81.061,81.061,,81.061,
604,,,,,,
606,,354.2035,,,,
607,,,,,,
612,,,,,,
613,,,,,,
614,,,,,,
615,,368.183,,,,
616,,,,,,
619,,,,,,
621,,,,,,
622,,,,,,
626,,,,,,
627,,144.0219,144.0219,,,
629,,,,,,
630,,,,,,204.1357
631,,,,,,458.2951
632,,114.0046,,,,
634,,,,,,
635,,,,,,
636,,162.0313,,,,
637,370.3079,370.3079,370.3079,,370.3079,
640,,,,,,
641,,278.15,,,,
642,,,,,,
644,,,,,,
647,,610.1607,,610.1607,,610.1607
648,,318.2762,,,,
649,,154.0992,,,,
650,,,,,,
651,,,,,,
654,758.1989,758.1989,758.1989,758.1989,758.1989,758.1989
655,121.9689,,121.9689,,121.9689,
657,,,,,,
659,,,,,,
661,,,,,,
662,,,,,,
663,636.298,636.298,636.298,636.298,636.298,636.298
664,,,,,,
665,,,,,,
666,,,,,,
667,,,,,,
669,,,,,,
671,,,,,157.9536,
673,,,,,,
674,,,,,,
675,,,,,,
678,,,,,,
679,,,,,,
681,,,,,,
683,,,,,,
684,,,,,,
685,,,,,,
686,,,,,,
687,,124.9787,,,,
689,,,,,,
691,,,,129.0309,,
692,,,,,,
693,81.0609,81.0609,81.0609,,81.0609,
695,,,,,,
697,,318.2766,,,,
698,,758.1985,,,,
699,,,,,,
700,,,,,,
701,,,,,,
702,,390.2766,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,,248.1983,,,,
707,,,,,,
710,,,,,,
711,,,,,,
712,,,,,,
713,,,,,,
714,,,,,,
715,,162.0315,,,,
718,,,,,,
719,,,,,,
720,,,,,,
723,,,,,,
724,,,,,,
725,,218.1286,,,,
726,,,,,,
727,,,,,,
728,,,,,,
729,,390.2769,,,,
730,,,,,,
731,,,,,,
732,,,,,,
733,,,,,,
734,,,,,,
735,636.2979,636.2979,636.2979,,636.2979,636.2979
736,,,,,,
737,,,,,,
738,,,,,,
739,,,,,,
740,,,,,,
741,,518.1322,,518.1322,,518.1322
742,,,,,,
743,,,,,,
744,,,,,,
746,,,,,,
747,,,,,,
748,,860.2482,,,,
749,,,,,,
750,,,,,,
751,,,,,,
754,,,,,,
756,,,,,,
757,,,,,,
758,,,,,,
759,,312.2298,,,,
760,,,,,,
761,,,,,,
762,,,,,,
763,,,,,,
764,,,,,,
765,,312.2298,,,,334.2118
766,,,,,,
767,,,,,,
769,,278.1514,,,,
770,,,,,,
772,,,,,,
773,,,,,,402.2592
774,,,,,,402.2604
775,757.2148,757.2148,757.2148,757.2148,757.2148,757.2148
776,,,,,,592.1505
777,,,,,,
778,,,,,,
779,,,,,,826.5043
783,,,,,,
784,,,,,,
785,,,,,,402.2611
787,124.9786,124.9786,124.9786,124.9786,124.9786,124.9786
788,610.1612,610.1612,610.1612,610.1612,610.1612,610.1612
789,,,,,,334.2137
791,,,,,,
792,,,,,,
793,,,,,,
796,,,,,,402.2607
803,,,,,,356.2547
804,286.881,286.881,286.881,286.881,286.881,286.881
808,,,,,,
809,,,,,,
811,,,,,,
813,,,,,,
819,,,,,,826.5037
821,,,,,,
822,216.0994,216.0994,216.0994,216.0994,216.0994,216.0994
825,,,,,,
826,,,,,,
827,,,,,,
828,,,,,,
829,,,,,,
832,362.782,362.782,362.782,,362.782,362.782
833,,,,,,
834,,,,,,402.2608
836,,,,154.1953,,
838,,,,157.9537,,
841,,,,,,
844,,,,,,
845,,,,,,
846,,,,,,356.2546
848,,,,,,
849,,,,,,
850,,,,,,
851,,,,,,
852,,,,,,
853,218.0785,218.0785,218.0785,218.0785,,218.0785
856,,,,,,
862,,,,,,
863,,,,,,
864,,,,,,
867,,,,662.447,,662.447
868,536.1422,536.1422,,536.1422,536.1422,536.1422
869,362.7818,362.7818,362.7818,,362.7818,362.7818
871,,,,,,
879,,,,,,
881,520.1105,,520.1105,520.1105,520.1105,520.1105
882,,,,,,
883,,,,,,
886,,,,,,
890,,,,,,
891,462.1229,462.1229,462.1229,,462.1229,462.1229
893,,,,,,
894,,,,,,
896,,,,,,
897,,,,,,
900,,,,,,
901,,,,,,
902,,,,,,
903,,,,216.0993,,216.0993
904,,,,,,
912,,,,,,
914,,,,,,
916,,,,,,
922,,,,,,170.0784
926,,,,,,
927,,,,,,
928,,,,,,
929,,,,,,
932,342.0898,684.1796,342.0898,,342.0898,684.1796
933,,,,,,
938,,,,,,
940,,,,,,
941,,,,,,
942,,,,,,
944,,,,,,
946,,,,,,
947,,,,,,
949,,,,,,
951,,684.1795,,,,684.1795
952,,,,168.1145,,168.1145
956,,,,,,
959,,,,,,
961,,,,,,
962,,,,,,
965,,,,,,
967,,,,,,
968,,,,,,
971,,,,,,740.187
973,,,,,,
974,,,,,,
975,,,,,,
976,,,,,,
977,,,,,,
979,,,,,,
980,,,,314.0854,,314.0854
981,,,,,,462.1228
983,,,,168.1146,,168.1146
985,,,,,,
987,,,,,,
988,,,,,,204.1356
989,,,,,,170.0803
990,,,,,,
991,,,,,,
992,,,,,,144.0223
993,,,,,,
995,,,,,,
996,,,,,,106.0886
997,312.2296,312.2296,312.2296,312.2296,312.2296,
998,,,,,,
999,,,,,,
1000,,,,,,
1001,,,,,,
1003,,,,,,458.2947
1004,,,,,,666.1704
1008,,,,,,
1009,,,,,,
1011,,,,,,
1013,520.1109,,520.1109,520.1109,520.1109,520.1109
1014,,,,,,
1015,,,,,,
1016,,,,,,
1017,,,,,,
1018,,,,,,
1019,,,,,,
1020,,,,,,
1021,,,,,,
1022,,,,,,
1023,,,,,,
1024,,,,,,
1025,610.16,,610.16,610.16,610.16,610.16
1026,,,,,,129.0311
1027,,,,,,
1028,,,,,,
1029,,,,,,
1030,,,,,,
1032,,,,,,
1033,,,,,,
1034,,,,,,
1035,,,,,,
1038,,,,,,666.1698
1040,,,,,,
1041,,,,,,
1043,,,,,,
1044,,,,,,218.0785
1045,,,,129.0313,,129.0313
1046,,,,,,
1047,,,,,,592.151
1048,,,,,,
1049,,,,,,
1051,,,,,,
1052,,,,,,
1053,,,,,,
1054,,,,,,
1055,,,,,,278.1515
1056,,,,319.0956,,
