row ID,row m/z,row retention time,NEG_Cas11.mzXML Peak area,NEG_Cas13.mzXML Peak area,NEG_Cas24.mzXML Peak area,NEG_Cas3.mzXML Peak area,NEG_Cas4.mzXML Peak area,NEG_Cas5.mzXML Peak area,NEG_Cas6.mzXML Peak area,NEG_Extrait2hexane.mzXML Peak area,NEG_YSBlanc_MSMS.mzXML Peak area,NEG_YSC4-512CCP6P_MSMS.mzXML Peak area,NEG_YSC410MCP6P_MSMS.mzXML Peak area,NEG_YSC511MCP6P_MSMS.mzXML Peak area,
2098,401.1817220052083,14.407855555555557,0,3.6642562830450016E8,0,0,0,0,0,0,0,1.77977871654375E7,0,7.364748392087504E7,
2099,725.3745015462239,20.356333333333332,0,2.4191867673749927E8,0,0,0,0,0,0,0,0,0,428360.7589062501,
2100,265.1441665236464,13.2451375,1.879268039675545E8,3.079659458629368E8,0,0,0,0,0,0,0,1.859728635506253E7,0,2753637.4230937446,
2101,183.0289071085323,16.085294444444443,0,4.167198291985006E8,0,0,0,0,0,0,0,3765961.4291093587,0,7.109113623198444E7,
2102,183.028982193094,13.845679166666667,2.946533275469925E7,5.0869475804599893E8,0,0,0,0,0,0,0,6.033897944303131E7,0,4.8018656896699977E8,
2103,375.1563386670586,20.184733333333334,6.696942983484347E7,4.9276589575562584E8,0,0,0,0,0,669232.4203125052,0,6488482.064374985,0,5.732180268218734E8,
2104,355.1763509114583,13.7022,0,3.6606807403406274E8,0,0,0,0,0,0,0,3.884606982585927E7,0,1.3476764168431246E8,
2105,343.2125601894033,15.26618888888889,4.894760353488675E8,2.4604655890500024E8,0,0,0,0,0,4583390.833675784,0,2.4272134788249978E8,3.1207761647703122E7,1.341147580700313E8,
2106,229.10764524132145,16.808715,4.193018496975043E9,2.718210207949987E8,1.2825319786875084E7,0,1.4125374161636766E7,3.3312959573765833E7,1.2614069327800052E8,2.6858136180000044E7,9.240959330062495E7,7.039305089772012E9,0,3.7972004563792076E10,
2107,493.1351826985677,13.750783333333333,0,2.599908816468126E8,0,0,0,0,0,0,0,5.5094750300875105E7,1.1714378669850621E9,0,
2108,475.23442326122176,16.48075,1.6738497189234389E7,3.375155107749058E8,0,0,0,0,0,0,0,6484487.366015574,0,2.9330155435281273E7,
2109,271.0821838378906,4.042666666666666,0,3.9213259521446884E8,0,0,0,0,0,0,0,8806750.102859389,4.794494949721871E7,0,
2110,679.369384765625,20.3525,0,1.4999892872843793E8,0,0,0,0,0,0,0,0,0,8183149.835468628,
2111,283.0818176269531,11.279616666666668,0,2.878203740666871E8,0,0,0,0,0,0,0,0,0,0,
2112,461.2195061166215,15.8794125,1.6497638533562507E7,1.918774176058758E8,0,0,0,0,0,0,0,827284.1604765414,0,1.2216827158437576E7,
2113,199.0723114013672,4.035105555555556,0,3.2580953750387526E8,0,0,0,0,0,0,0,9002789.3665625,0,9102462.574312473,
2114,391.1530049641927,13.630988888888888,0,3.2646117684650004E8,0,0,0,0,0,0,0,3.4139335244953044E7,0,1.1959415403409375E8,
2115,327.2176666770008,16.563652777777776,3.3487919248389783E9,4.436208370479986E8,0,0,0,0,0,0,1.1919403920128496E8,4.063701455404054E8,2367598.56376562,8.474013617381229E7,
2116,351.21759033203125,12.866808333333333,0,1.5596241682634398E8,0,0,0,0,0,0,0,3.224716456421877E8,0,0,
2117,659.4729063072983,17.38775,0,1.5659859973421884E8,0,3175211.9582422115,0,0,0,0,0,0,0,0,
2118,451.1245524088542,12.205655555555557,0,2.2894735675925022E8,0,0,0,0,0,0,0,6.177471937168745E7,4.800000295949997E9,0,
2119,711.361083984375,16.089308333333335,0,1.2515554350925007E8,0,0,0,0,0,0,0,0,0,2775432.666749879,
2120,293.10283709581046,11.2814,4.130527589534358E7,2.040519677542187E8,0,0,5242373.520828147,5.274498350300005E7,4.1403648831799906E8,0,0,3.1569096476000015E7,0,2.5160674540015617E8,
2121,397.10675048828125,13.987283333333332,0,1.6281118322428128E8,0,0,0,0,0,0,0,0,0,0,
2122,201.1126281281966,12.66,3.9936436902371144E8,2.699394905774997E7,0,7.911947016245922E7,3.3305297041658256E7,3.621891377446877E7,3606338.2074687667,6.344684704509569E7,5910890.183167979,5.624944829949448E8,0,1.043319217717907E9,
2123,401.14447021484375,13.3081,0,1.5596205785190615E8,0,0,0,0,0,0,0,0,0,0,
2124,355.2122056842287,22.067583333333335,0,1.1217006642781286E8,0,0,0,2770676.233437496,5815274.296093764,1.6377219500312593E7,0,0,0,0,
2125,183.07683563232422,3.82875,0,2.0131517903309384E8,0,0,0,0,0,0,0,0,0,0,
2126,463.12275052874276,13.812825,0,1.2795791300915635E8,0,0,0,0,0,0,0,0,4.753020824060948E7,0,
2127,391.15281168619794,14.422649999999999,0,1.4025439337712482E8,0,0,0,0,0,0,0,2725170.9668281265,0,2.038737372268744E7,
2128,441.17578125,14.3511,0,1.2102270826921873E8,0,0,0,0,0,0,0,0,0,0,
2129,451.1969299316406,20.10477777777778,0,9.253294257874985E7,0,0,0,0,0,0,0,1.678664617015623E7,0,2582505.106562482,
2130,273.0528762549685,11.299683333333334,2687890.50378905,1.9354862054534388E8,0,0,0,0,0,0,0,0,0,0,
2131,491.3375244140625,29.663666666666668,0,1.1759135258906229E8,0,0,0,0,4.808158999531265E7,5.7233248026875004E7,0,0,0,0,
2132,572.3583679199219,26.194166666666668,0,9.581720845781265E7,0,0,0,0,0,6739132.195937476,0,0,0,0,
2133,463.19762366158625,16.545741666666665,0,8.549157144684358E7,0,0,0,0,0,0,0,4733317.735421877,0,0,
2134,344.08056640625,12.729616666666667,0,1.1720292047243741E8,0,0,0,0,0,0,0,0,0,0,
2135,343.212317784156,17.69915,1.6923506021049973E8,7.724929574999991E7,0,1.761559148900861E9,1.0153639312838604E9,5.134841483828125E7,7.675771142912515E7,3533893.619843739,0,1.0282995787457807E8,6361910.339062511,1.1167497558859363E8,
2136,385.22328186035156,17.581666666666667,0,6.753984297906268E7,0,0,0,0,0,0,0,0,0,7337917.80687497,
2137,162.05508542334059,10.068373333333334,7883454.902271474,1.6826130415457815E8,0,0,0,0,0,0,2.5342737919625036E7,7681308.481668943,0,7271628.746900393,
2138,463.1968367513021,15.854099999999999,3623042.4609629028,7.122452515631256E7,0,0,0,0,0,0,0,4505874.899468763,0,393441.37781249825,
2139,139.03892150069728,13.845679166666667,4787170.509222671,8.31377951186246E7,0,0,0,0,0,0,0,1.3790467828437354E7,0,8.436694059984374E7,
2140,251.09229044831557,12.537322222222222,0,8.655329576298414E7,0,0,0,0,0,0,0,4952934.19954686,0,2.6410794351980414E7,
2141,340.13970947265625,13.147533333333334,0,1.0056067054287495E8,0,0,0,0,0,0,0,0,0,0,
2142,437.21890411376955,18.869333333333334,0,6.816223245249985E7,0,0,0,0,0,0,0,458264.9123437671,0,0,
2143,285.18231201171875,14.263133333333332,0,7.812632719425006E7,0,0,0,0,0,0,0,0,0,2303684.317453112,
2144,265.1444137803989,15.392096666666669,1.2024991955179702E7,6.555344027321869E7,0,0,0,0,4069977.3701054626,0,0,1.3599373402117116E7,0,3.0610248060484365E7,
2145,297.09800211588544,10.48891111111111,0,1.4936999096018752E8,0,0,0,0,0,0,0,9641601.738437489,2.8665801236656178E7,0,
2146,302.13937418084396,14.253316666666667,3231527.788798839,6.407331432568753E7,0,0,0,0,0,2292020.8924374976,0,6475523.554343738,0,1.0494158528749973E7,
2147,369.15517171223956,13.766038888888888,0,8.06148685135625E7,0,0,0,0,0,0,0,5050254.544140634,0,4.388011776128123E7,
2148,249.04019863865955,15.973866666666666,0,1.2453496690118743E8,0,0,0,0,0,0,0,6759854.0411308715,0,0,
2149,235.92548068469412,1.02635625,3.4470233381049356E9,1.1188592402987498E8,4.413057052234374E7,6.821767000234377E7,4.682236553531251E7,6.247090229943747E7,7.539687081734865E8,4.4109125418749996E7,0,0,0,0,
2150,583.2763929367065,17.072333333333333,0,1.9822970366781276E8,0,0,0,0,0,0,0,0,0,3484447.146093724,
2151,192.06600646972657,11.92931,0,1.0048703971228126E8,0,0,0,0,0,0,2.845882021528441E8,9525906.38295308,7044431.293609354,9087658.910828168,
2152,487.10955810546875,2.7803416666666667,0,4.826900157100003E7,0,0,0,0,0,0,0,0,1.6877719425515603E7,0,
2153,199.023253337581,2.0297899999999998,5644666.787526363,1.0324235740731251E8,0,0,0,0,0,0,0,1.2204515125140615E7,1.0260212904031258E7,7964997.615531241,
2154,447.23948033650714,18.055333333333333,0,6.302219898249993E7,0,0,0,0,2.1935323369062334E7,0,0,0,0,372409.47124994465,
2155,665.2957763671875,22.596833333333333,0,5.646677025406239E7,0,0,0,0,0,0,0,0,0,0,
2156,501.2480010986328,17.611333333333334,0,5.2775774862031125E7,0,0,0,0,0,0,0,0,0,0,
2157,335.11366271972656,17.877249999999997,0,5.169168321531259E7,0,0,0,0,0,0,0,0,0,3117072.4867188022,
2158,585.2920328776041,16.14866111111111,0,1.1546311762893738E8,0,0,0,0,0,0,0,9514026.641359264,0,1.6584541581912518E8,
2159,389.13648986816406,15.009266666666667,0,6.475370234106255E7,0,0,0,0,0,0,0,0,0,0,
2160,475.1970494588216,19.433055555555555,494007.71000003925,9.221111622328119E7,0,0,0,0,0,0,0,0,4150859.0009375014,0,
2161,271.1662603307654,14.425488888888887,5689362.931914054,5.986826023287501E7,0,0,0,0,0,0,3449459.860606431,0,0,0,
2162,683.4010213216146,20.2955,0,3.581571352781245E7,0,0,0,0,0,0,0,5909039.2434374215,0,2.1767708414687417E7,
2163,375.10791015625,15.691433333333332,0,5.93868379855937E7,0,0,0,0,0,0,0,0,0,0,
2164,429.2490178230876,19.099277777777775,4700820.759531225,1.0421615933312519E8,0,0,0,0,1.4084704926875003E7,3.259807182765634E7,0,799135.7396875535,0,325000.5706252855,
2165,447.23828125,17.475833333333334,0,4.519066356874993E7,0,0,0,0,0,0,0,0,0,0,
2166,435.2029724121094,14.673233333333334,0,7.265446609003113E7,0,0,0,0,0,0,0,0,0,0,
2167,479.26548258463544,19.404555555555557,0,4.5533765288437486E7,0,0,0,0,0,0,0,6.418912224671877E7,0,9881715.572187396,
2168,393.15192794799805,13.701929166666666,0,1.182190527584062E8,0,0,0,0,0,0,0,4252106.866124999,77430.19473434077,3.7644285387046784E7,
2169,715.345947265625,20.404166666666665,0,7.25383235417189E7,0,0,0,0,0,0,0,0,0,0,
2170,402.176167861275,20.36283333333333,7727514.207304648,8.992646676437497E7,0,0,0,0,0,4696348.852812545,0,0,0,0,
2171,491.30092366536456,16.110472222222224,0,5.145737632237474E7,0,0,0,0,0,0,0,1.728020561125009E7,0,1.0104566457343726E8,
2172,273.0613432536291,2.2635958333333335,8022326.013359372,9.42783203266875E7,0,0,0,0,0,0,0,1.2307465905390631E7,6.359746406601846E8,0,
2173,139.03887176513672,16.08640833333333,0,7.157832680193746E7,0,0,0,0,0,0,0,0,0,1.0668516194374966E7,
2174,487.2346920437283,17.151833333333332,446445.19374983927,4.4567454614687495E7,0,0,0,0,0,0,0,0,0,2109484.413125042,
2175,257.1505584716797,12.567983333333334,0,7.314730172181247E7,0,0,0,0,0,0,1.1406481912859403E7,0,0,0,
2176,461.2581048944945,18.897375,8945619.630312553,7.481705195406209E7,0,0,0,0,0,0,0,1862048.5946875017,0,1098911.6943752123,
2177,285.1816101074219,13.929966666666667,0,4.357624864709386E7,0,0,0,0,0,0,0,0,0,0,
2178,337.1656853036488,16.122205555555553,0,9.672825644845323E7,0,0,0,0,0,0,0,8.175139331718738E7,0,1.5608395209437512E7,
2179,207.9306279863491,0.8759319444444446,1.1553592774669857E9,4.5817308101875E7,6060371.4311874965,2.707412877965625E7,1.4795902227515629E7,2.5936026883343756E7,4.441422771739649E7,1.102084204521875E7,200255.9018867167,202534.8481914068,183652.68699218734,171564.3915820327,
2180,515.1397094726562,3.8425166666666666,0,5.629647661806249E7,0,0,0,0,0,0,0,0,0,0,
2181,167.03399658203125,20.304333333333336,0,4.116974497406246E7,0,0,0,0,0,2559208.9212499466,0,5.897066172812494E7,0,1.4027492672218764E8,
2182,350.16151598477126,15.962277777777777,2884157.0010039164,4.187761321315632E7,0,0,0,0,0,0,0,0,0,5608217.603015634,
2183,271.08192803393837,2.177505555555556,0,8.242898239828125E7,0,0,0,0,0,0,0,5813908.976773429,1.1694675602531247E7,0,
2184,371.12624599916717,15.2508625,3713495.665046852,4.6282147388593785E7,0,0,0,0,0,0,0,0,1.5456871152406242E7,1.0612060774531227E7,
2185,415.1592712402344,14.91805,0,4.469538864025008E7,0,0,0,0,0,0,0,0,0,0,
2186,479.33838907877606,16.568083333333334,0,4.0874518760499895E7,0,0,0,0,0,0,0,6658015.047781247,0,2.333146400006274E7,
2187,435.13631439208984,13.871404166666666,0,1.0148950467428125E8,0,0,0,5114545.359875004,4434607.078124974,0,0,0,0,1.9817601530937515E7,
2188,330.23618940873575,15.783375,0,3.639994514178128E7,0,0,0,0,0,0,0,3303660.514347675,0,0,
2189,367.1755828857422,15.764708333333335,0,9.45564897049375E7,0,0,0,0,0,0,0,0,0,2.3247493837078214E7,
2190,299.07720947265625,6.5865833333333335,0,9.924251349117187E7,0,0,0,0,0,0,0,1.527749789312501E7,6.545717128884377E7,0,
2191,399.16552734375,17.007416666666664,0,3.999175499765613E7,0,0,0,0,0,0,0,0,8429532.901249962,0,
2192,437.1567687988281,13.530025,0,4.166933972156246E7,0,0,0,0,0,0,0,0,0,2803841.442687525,
2193,247.11842565748427,11.3948125,4979753.597328048,6.6257240127843685E7,0,0,0,0,0,0,0,4576857.195328091,0,3.048255760400003E7,
2194,467.1917215983073,15.68488888888889,0,4.017914046868734E7,0,0,0,0,0,0,0,8757844.217234366,0,8623694.735359378,
2195,371.2078197643321,20.038333333333334,0,3.5699387939375006E7,0,0,0,0,4267794.777265658,2209311.6993750166,0,0,0,1.2129379610937655E7,
2196,205.83894177332817,38.22122916666667,1.0490269187574191E8,4.3277916776718676E7,4.685133782375038E7,4.302741863468754E7,4.880336724687486E7,4.573297311312461E7,4.4982895274062425E7,4.430069542343743E7,0,0,0,0,
2197,361.2034912109375,26.517333333333333,0,3.87784626337501E7,0,0,0,0,0,5189649.0690624835,0,0,0,0,
2198,495.1539764404297,11.1759,0,4.062171528600006E7,0,0,0,0,0,0,0,0,1.3409828968906248E7,0,
2199,435.2039732869466,18.50005555555556,0,4.038334938593754E7,0,0,0,0,0,0,0,9212629.677187588,0,2757535.925312396,
2200,320.18653869628906,20.62625,0,3.520060492375009E7,0,0,0,0,0,0,0,8364102.304999997,0,0,
2201,465.1742112402822,15.685433333333334,0,1.1748785727874907E7,0,0,0,0,0,0,0,1542256.7954843885,185972.54882806848,0,
