row ID,row m/z,row retention time,POS_Cas11.mzXML Peak area,POS_Cas13.mzXML Peak area,POS_Cas24.mzXML Peak area,POS_Cas3.mzXML Peak area,POS_Cas4.mzXML Peak area,POS_Cas5.mzXML Peak area,POS_Cas6.mzXML Peak area,POS_Extrait2hexane.mzXML Peak area,POS_YSBlanc_MSMS.mzXML Peak area,POS_YSC4-512CCP6P_MSMS.mzXML Peak area,POS_YSC410MCP6P_MSMS.mzXML Peak area,POS_YSC511MCP6P_MSMS.mzXML Peak area,
12,453.17413330078125,11.172133333333333,3.5792133271620045E9,0,0,0,0,0,0,0,0,1.994559548862493E8,0,0,
13,563.5497871523415,30.962972222222223,1.9736065138368688E9,1.7326604375068762E9,3.2187852068781323E9,1.1161430273387482E9,6.509014670275017E8,7.85986795827501E8,1.297140095076249E9,1.0124068333375012E9,6595635.799531354,1.5481000698725085E9,1.0023556662324985E9,5.14113281890001E8,
14,274.27334849039715,20.144486111111114,1.6902541746331253E9,1.7345917499756303E9,1.3651861523187494E9,1.9281426372199993E9,8.565988272937484E7,3.770275500143751E9,2.418770276866867E9,8.770758231500019E7,2.0559184802481284E9,2.214625416416812E10,1.4996009235908144E10,1.94216103803506E10,
15,214.98727990189323,0.7971875,7.757782313025011E7,1.3932897015900004E8,2700245.855062496,1.4004498467900005E8,1.918456609565124E9,1.9196715931149065E9,1.9158247824638932E9,1.106528957969375E8,3233983.862999991,8.020168145687497E7,3042214.57350001,3135388.380499991,
16,472.14796956380206,11.168516666666667,3.8403695568411245E9,0,0,0,0,0,0,2.439438211321877E7,0,7.207499352638807E9,0,0,
17,321.1687355041504,20.047666666666668,1.5915513649899983E9,6.432217057687522E7,0,0,0,8.291906064062478E7,2.431862728224998E8,1.1852130311750042E8,0,3.2678135158749778E7,7.510676395074977E8,6991121.566562495,
18,461.25238037109375,19.61256666666667,3.081879555923748E9,2.4580251447499968E7,0,0,0,0,0,2.9097000024343735E8,0,6.958228710718726E7,0,2.897409024949997E8,
19,475.1564636230469,11.179954166666668,3.589017282945061E9,1.774900452865622E7,0,0,0,0,0,1.2022174647875008E8,0,4.652405406970498E9,0,0,
20,191.06992349798028,11.180353333333333,2.808196648590811E9,6.0985277965062656E7,0,0,0,0,0,4.8433997170718774E7,0,5.724934323877E9,1.9906725077523407E7,0,
21,243.08727900187174,13.492705555555558,1.33441322124925E9,3.1454387854562588E7,0,0,0,0,0,1.056397194125E7,5.481505630203128E7,2.85208516840625E7,2.7031461149437603E7,0,
22,339.17962137858075,17.612527777777775,2.655972212847499E9,2.5647064864312464E8,0,0,0,5.0657087344062574E7,5.7351024348125055E7,5.077148489125011E7,0,0,2.3354264492499862E7,0,
23,421.22120361328126,16.742843333333333,1.0671310015275002E9,2.3291903038093545E7,0,0,0,0,0,8767898.702812359,0,1.3847172876156263E7,0,9.676571706131274E7,
24,249.07285817464194,11.179561111111113,3.8227207930236864E9,2.5187710005806276E8,0,0,0,0,3.725068409112502E7,2.947182308447188E8,0,1.3859046707376612E10,8.479243618475005E7,0,
25,256.2628987630208,27.77436111111111,1.2382473372737482E9,9.013618030875006E8,8.215223196350014E8,9.20693706952499E8,7.797696529643741E8,8.360104961912495E8,7.64887792855002E8,7.391600136424981E8,1.2279729142775054E9,1.2631222803949935E9,1.3285602330700054E9,1.1547406052974968E9,
26,411.3252806315991,32.706250000000004,1.3852236104012556E9,5296294.640000124,0,0,0,1.0030962560937848E7,1.724446194312499E7,5.472138617818769E8,0,1.2395473669367436E8,5.275379094187509E7,2.0578257789101478E7,
27,417.2626838684082,25.701708333333336,1.1017866586443715E9,1.6134881753437486E7,0,0,1.862524732437491E7,1.1153533474062614E7,2.9552339656562373E7,2.27230732265E8,0,4.145093867687506E7,0,2.0893770999812618E8,
28,319.2836748758952,28.510111111111115,1.194013451996251E9,3.184392252187507E7,7.446578284687494E7,2.414580377906254E7,2.0364969740625054E7,3.0234727378125045E7,7.402492211000037E7,9.342708412187491E7,2.145180690687502E7,7.551717396062526E7,6.617465511156256E7,8.109644011687528E7,
29,340.2587588205084,13.044524999999998,1.0107546944559997E9,9.801194497422493E8,7.394207775683751E8,1.0378198724264996E9,1.0143269349386871E9,1.2305147845310001E9,1.0092886304428761E9,3.502294352656249E8,4.203214532536875E8,5.661540863517882E9,3.0671314673559356E9,5.948838259831922E9,
