Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,004_Acetylportentol
70,243.0429,206.291,282100.0,1,70.0,0,neg_cossingleton,cossingleton,0,,NEG,132.0,30,5-Chlorodivaricatinic acid,243.0424,196.802994,[M-H]-,C11H13ClO4,O=C(O)c1c(CCC)c(Cl)c(OC)cc1O,"InChI=1S/C11H13ClO4/c1-3-4-6-9(11(14)15)7(13)5-8(16-2)10(6)12/h5,13H,3-4H2,1-2H3,(H,14,15)",JRBWSDAHJPBRDM-UHFFFAOYSA-N,Cleavage Products of Depsides and Depsidones,Thermo Q-Exactive Focus,0.92,3,0.5,,,,,,,,1791870.707
72,160.8409,15.602,158900.0,-1,72.0,0,neg_singleton,singleton,0,,NEG,134.0,-1,,,,,,,,,,,,,,,,,,,,,454500.6347
73,146.9599,7.064,170500.0,1,73.0,0,neg_cossingleton,cossingleton,0,,NEG,135.0,30,,,,,,,,,,,,,,,,,,,,,2057252.375
74,815.1791,457.848,167500.0,-1,74.0,0,neg_adduct,adduct,0,[M-H]-,NEG,136.0,103,,,,,,,,,,,,,,,,,,,,,1180582.654
75,313.0791,501.754,616500.0,1,75.0,0,neg_precursor,precursor,0,,NEG,138.0,1,,,,,,,,,,,,,,,,,,,,,1340280.082
76,544.0387,369.853,74000.0,-1,76.0,0,neg_singleton,singleton,0,,NEG,139.0,-1,,,,,,,,,,,,,,,,,,,,,813272.7157
77,145.9296,3.741,32100.0,1,77.0,0,neg_cossingleton,cossingleton,0,,NEG,141.0,18,,,,,,,,,,,,,,,,,,,,,1608871.858
78,231.9312,4.323,33300.0,-1,78.0,0,neg_singleton,singleton,0,,NEG,143.0,-1,,,,,,,,,,,,,,,,,,,,,1693872.227
80,223.0277,455.115,66800.0,1,80.0,0,neg_cossingleton,cossingleton,0,,NEG,145.0,109,,,,,,,,,,,,,,,,,,,,,953577.8859
81,217.8093,15.338,60000.0,1,81.0,0,neg_singleton,singleton,0,,NEG,146.0,-1,,,,,,,,,,,,,,,,,,,,,354428.3565
