Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
102,210,258,2.0,0.0,0.0,488.726,37.0123,neg_singcos_edge,cosine_edge,,,0.62,NEG,0.62
103,210,212,2.0,0.0,0.0,0.0,1.9969,neg_singcos_edge,cosine_edge,,,0.94,NEG,0.94
104,211,515,5.0,22.0,0.23,0.639,43.9899,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
105,211,92,0.0,0.0,0.0,1.154,-145.9319,neg_cos_edge,cos_edge,,,0.91,NEG,0.91
106,212,258,2.0,0.0,0.0,488.726,39.0092,neg_singcos_edge,cosine_edge,,,0.66,NEG,0.66
107,214,225,6.0,0.0,0.0,321.121,0.0004,neg_singcos_edge,singcos_edge,,,1.0,NEG,1.0
108,215,236,2.0,0.0,0.0,0.375,2.0,neg_singcos_edge,cosine_edge,,,0.99,NEG,0.99
109,216,427,3.0,0.0,0.0,47.956,27.995,neg_singcos_edge,cosine_edge,,,0.85,NEG,0.85
110,216,288,2.0,0.0,0.0,87.784,12.0001,neg_singcos_edge,cosine_edge,,,0.71,NEG,0.71
111,218,228,2.0,0.0,0.0,27.155,196.0739,neg_singcos_edge,singcos_edge,,,0.84,NEG,0.84
112,218,58,5.0,0.0,0.0,28.789,0.1602,neg_singcos_edge,singcos_edge,,,0.71,NEG,0.71
113,218,12,2.0,0.0,0.0,34.841,0.984,neg_singcos_edge,singcos_edge,,,0.7,NEG,0.7
114,220,220,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
115,221,231,0.0,0.0,0.0,-5.623,-67.9875,neg_cos_edge,cos_edge,,,0.97,NEG,0.97
116,222,247,0.0,0.0,0.0,9.111,46.0066,neg_cos_edge,cos_edge,,,0.35,NEG,0.35
117,231,56,2.0,0.0,0.0,0.258,67.9871,neg_singcos_edge,singcos_edge,,,0.93,NEG,0.93
118,231,28,2.0,0.0,0.0,0.289,61.971,neg_singcos_edge,singcos_edge,,,0.69,NEG,0.69
119,234,234,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
120,244,244,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
121,245,245,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
122,250,250,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
123,252,281,3.0,0.0,0.0,174.629,25.9994,neg_singcos_edge,cosine_edge,,,0.85,NEG,0.85
124,256,256,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
125,264,492,3.0,24.0,0.12,-2.719,67.9881,neg_frag_edge,frag_edge,,,67.9881,NEG,0.0
126,265,363,2.0,0.0,0.0,283.884,0.0002,neg_singcos_edge,cosine_edge,,,0.99,NEG,0.99
127,265,392,2.0,0.0,0.0,41.946,0.0,neg_singcos_edge,cosine_edge,,,0.99,NEG,0.99
128,266,266,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
129,267,49,0.0,0.0,0.0,2.885,46.0061,neg_cos_edge,cos_edge,,,0.96,NEG,0.96
130,271,269,2.0,0.0,0.0,289.095,712.1756,neg_singcos_edge,singcos_edge,,,0.65,NEG,0.65
131,271,283,2.0,0.0,0.0,93.282,0.0002,neg_singcos_edge,singcos_edge,,,0.96,NEG,0.96
132,272,272,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
133,274,274,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
134,275,427,3.0,0.0,0.0,126.773,126.048,neg_singcos_edge,cosine_edge,,,0.75,NEG,0.75
135,275,278,4.0,0.0,0.0,102.98,92.0855,neg_singcos_edge,cosine_edge,,,0.66,NEG,0.66
136,276,276,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
137,278,427,4.0,0.0,0.0,23.793,33.9625,neg_singcos_edge,cosine_edge,,,0.87,NEG,0.87
138,279,428,7.0,0.0,0.0,55.623,0.0005,neg_singcos_edge,cosine_edge,,,0.89,NEG,0.89
139,282,282,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
140,291,291,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
141,293,293,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
142,302,330,0.0,0.0,0.0,0.506,-67.9881,neg_cos_edge,cos_edge,,,0.87,NEG,0.87
143,303,47,5.0,0.0,0.0,0.207,1.9944,neg_singcos_edge,singcos_edge,,,0.97,NEG,0.97
144,303,307,0.0,0.0,0.0,0.032,-167.9141,neg_cos_edge,cos_edge,,,0.98,NEG,0.98
145,303,217,7.0,0.0,0.0,290.218,0.0004,neg_singcos_edge,singcos_edge,,,0.93,NEG,0.93
146,303,39,0.0,0.0,0.0,-0.027,-183.8879,neg_cos_edge,cos_edge,,,0.57,NEG,0.57
147,303,338,5.0,17.0,0.29,-0.431,12.0,neg_frag_edge,frag_edge,,,12.0,NEG,0.0
148,306,394,4.0,0.0,0.0,125.424,170.2293,neg_singcos_edge,singcos_edge,,,0.75,NEG,0.75
149,306,59,3.0,0.0,0.0,129.143,170.2953,neg_singcos_edge,singcos_edge,,,0.8,NEG,0.8
150,307,311,4.0,23.0,0.17,0.517,111.9781,neg_frag_edge,frag_edge,,,111.9781,NEG,0.0
151,307,39,0.0,0.0,0.0,-0.059,-15.9738,neg_cos_edge,cos_edge,,,0.58,NEG,0.58
152,307,303,5.0,20.0,0.25,-0.032,167.9141,neg_frag_edge,frag_edge,,,167.9141,NEG,0.0
153,307,38,3.0,28.0,0.11,-0.006,89.996,neg_frag_edge,frag_edge,,,89.996,NEG,0.0
154,308,208,9.0,0.0,0.0,492.11,0.0002,neg_singcos_edge,singcos_edge,,,0.96,NEG,0.96
155,308,201,4.0,0.0,0.0,0.282,1.9971,neg_singcos_edge,singcos_edge,,,0.83,NEG,0.83
156,311,414,4.0,0.0,0.0,1.661,0.0659,neg_singcos_edge,singcos_edge,,,0.96,NEG,0.96
157,311,368,2.0,0.0,0.0,0.118,1.0079,neg_singcos_edge,singcos_edge,,,0.82,NEG,0.82
158,311,384,2.0,0.0,0.0,0.129,1.9946,neg_singcos_edge,singcos_edge,,,0.82,NEG,0.82
159,311,141,3.0,0.0,0.0,2.165,28.1358,neg_singcos_edge,singcos_edge,,,0.62,NEG,0.62
160,311,284,2.0,0.0,0.0,314.723,125.2251,neg_singcos_edge,singcos_edge,,,0.97,NEG,0.97
161,311,38,0.0,0.0,0.0,-0.523,-21.9821,neg_cos_edge,cos_edge,,,0.71,NEG,0.71
162,311,55,3.0,0.0,0.0,0.038,43.99,neg_singcos_edge,singcos_edge,,,0.94,NEG,0.94
163,312,5,0.0,0.0,0.0,1.056,10.029,neg_cos_edge,cos_edge,,,0.95,NEG,0.95
164,318,246,4.0,0.0,0.0,7.595,224.0564,neg_singcos_edge,singcos_edge,,,0.81,NEG,0.81
165,321,321,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
166,324,7,4.0,16.0,0.25,-0.019,145.9312,neg_frag_edge,frag_edge,,,145.9312,NEG,0.0
167,324,315,3.0,26.0,0.12,-0.902,189.9213,neg_frag_edge,frag_edge,,,189.9213,NEG,0.0
168,324,235,3.0,0.0,0.0,326.286,49.1353,neg_singcos_edge,singcos_edge,,,0.94,NEG,0.94
169,326,302,3.0,20.0,0.15,-0.032,147.9319,neg_frag_edge,frag_edge,,,147.9319,NEG,0.0
170,328,328,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
171,330,302,3.0,16.0,0.19,-0.506,67.9881,neg_frag_edge,frag_edge,,,67.9881,NEG,0.0
172,331,332,4.0,0.0,0.0,0.095,1.9971,neg_singcos_edge,cosine_edge,,,0.74,NEG,0.74
173,338,125,0.0,0.0,0.0,-1.198,-195.908,neg_cos_edge,cos_edge,,,0.68,NEG,0.68
174,340,378,2.0,0.0,0.0,208.797,183.3024,neg_singcos_edge,cosine_edge,,,0.74,NEG,0.74
175,341,240,6.0,0.0,0.0,25.589,0.0001,neg_singcos_edge,singcos_edge,,,0.99,NEG,0.99
176,341,67,5.0,0.0,0.0,507.726,0.0001,neg_singcos_edge,singcos_edge,,,0.95,NEG,0.95
177,362,302,3.0,25.0,0.12,5.371,145.9313,neg_frag_edge,frag_edge,,,145.9313,NEG,0.0
178,363,392,2.0,0.0,0.0,325.83,0.0002,neg_singcos_edge,cosine_edge,,,0.99,NEG,0.99
179,403,254,5.0,0.0,0.0,34.927,298.0546,neg_singcos_edge,singcos_edge,,,0.7,NEG,0.7
180,403,359,18.0,0.0,0.0,49.189,0.0005,neg_singcos_edge,singcos_edge,,,0.97,NEG,0.97
181,403,82,2.0,0.0,0.0,23.041,148.0365,neg_singcos_edge,singcos_edge,,,0.92,NEG,0.92
182,404,32,0.0,0.0,0.0,-0.439,46.0062,neg_cos_edge,cos_edge,,,0.92,NEG,0.92
