Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
395,1583,8,0.0,0.0,0.0,0.0,-1.0082,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
396,1583,20,0.0,0.0,0.0,0.0,66.9797,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
397,1587,404,0.0,0.0,0.0,0.0,44.998,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
398,1587,32,0.0,0.0,0.0,0.0,-1.0082,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
399,1588,593,0.0,0.0,0.0,1.627,18.0337,pos_add_edge,add_edge,,[M+NH4]+,[M+NH4]+,POS,0.0
400,1588,434,0.0,0.0,0.0,0.0,44.9982,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
401,1588,403,0.0,0.0,0.0,0.0,-1.0083,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
402,1591,199,0.0,0.0,0.0,0.0,-1.0078,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
403,1592,9,0.0,0.0,0.0,0.0,44.9977,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
404,1592,15,0.0,0.0,0.0,0.0,-1.0077,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
405,1593,29,0.0,0.0,0.0,0.0,-1.0082,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
406,1594,193,0.0,0.0,0.0,0.0,-1.0083,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
407,1596,133,0.0,0.0,0.0,0.0,66.9801,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
408,1599,460,0.0,0.0,0.0,10.708,1.0072,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
409,1599,752,0.0,0.0,0.0,0.0,22.9891,pos_add_edge,add_edge,,[M+Na]+,[M+Na]+,POS,0.0
410,1599,675,0.0,0.0,0.0,0.0,18.0344,pos_add_edge,add_edge,,[M+NH4]+,[M+NH4]+,POS,0.0
411,1599,777,0.0,0.0,0.0,0.0,59.0618,pos_add_edge,add_edge,,[M+NH4+CH3CN]+,[M+NH4+CH3CN]+,POS,0.0
412,1599,686,0.0,0.0,0.0,0.0,1.0076,pos_add_edge,add_edge,,[M+H]+,[M+H]+,POS,0.0
413,1599,150,0.0,0.0,0.0,3.718,66.9818,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
