feature_id,row m/z,rtinseconds,NEG_004_Acetylportentol.mzXML Peak area,NEG_007_12_Desoxydiacetylpyxinol.mzXML Peak area,NEG_008_12_Desoxypyxinol.mzXML Peak area,NEG_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,NEG_011_Bourgeanic_acid.mzXML Peak area,NEG_012_Caperatic_acid.mzXML Peak area
62,243.1597137,3.1613833330000003,4901534.141,4681616.962,4150862.488,0.0,0.0,0.0
63,352.8534058,8.546526667,11026854.42,10906005.22,10834724.12,0.0,0.0,0.0
64,228.8532117,8.404502778,2772223.3389999997,3352382.982,3201981.8989999997,3088278.0689999997,0.0,3602843.952
65,320.8862943,8.528001515,10672961.85,11068888.61,11680119.18,9754348.444,0.0,0.0
66,453.78623660000005,8.547089999999999,9936328.0,9545716.504,10158872.92,0.0,0.0,0.0
67,182.9878239,8.360001753999999,9660774.42,0.0,0.0,8003088.482999999,0.0,0.0
68,248.95991209999997,0.23201666699999998,1680118.904,2553849.1569999997,1502714.314,2822250.055,0.0,1527446.332
69,239.9024378,8.597083332999999,9814719.021,0.0,10372402.78,0.0,0.0,0.0
70,316.9477081,0.2315125,1245348.555,1853637.789,1118111.029,2424957.631,0.0,1105467.104
71,143.93795649999998,8.508477778,8204516.1729999995,9632756.416000001,8807667.115,0.0,0.0,0.0
72,146.9374784,0.056511110999999996,7540684.551,0.0,0.0,0.0,0.0,0.0
73,239.90240989999998,8.89445,7261337.005,6795429.362000001,7504447.081,0.0,0.0,0.0
74,355.1583388,6.270535185,3460828.31,2754197.245,8173966.466,0.0,0.0,0.0
75,413.1816254,2.738433333,2628795.821,0.0,0.0,0.0,0.0,0.0
76,199.8501778,8.405364582999999,2782096.5730000003,2874664.102,2900943.7660000003,2706695.44,0.0,0.0
77,369.1916809,2.04125,3114641.03,0.0,0.0,0.0,0.0,0.0
78,184.92889250000002,7.538116667000001,3468910.6560000004,0.0,0.0,0.0,0.0,4826511.788
79,965.1955260999999,8.346666667000001,3275001.34,2201276.221,5145364.078,4910680.781,0.0,0.0
80,567.0880814,7.631238889,2884255.417,2241865.082,3915002.46,0.0,0.0,0.0
81,394.8904088,0.231216667,1040356.271,1062671.148,0.0,1676781.345,0.0,723763.4240000001
82,222.8402557,8.412825,1352970.769,1402110.0669999998,0.0,996991.6045,0.0,0.0
83,328.81007389999996,8.413722222,2796214.691,3060784.691,0.0,1427369.5559999999,0.0,0.0
84,326.90318080000003,0.234559524,1512013.4440000001,1480962.231,0.0,1834936.3930000002,0.0,981515.2639
85,893.1560567,7.259977778,2677696.1980000003,5443064.34,4084721.731,0.0,0.0,0.0
86,430.17172239999996,2.738433333,2220614.741,0.0,0.0,0.0,0.0,0.0
87,383.1894226,6.777505556,2662829.458,2797570.019,2968086.845,0.0,0.0,0.0
88,293.17667850000004,3.418448333,3520210.4960000003,0.0,0.0,0.0,0.0,0.0
89,355.1757424,3.194086364,2001599.254,0.0,0.0,0.0,0.0,0.0
90,146.96480319999998,0.277357292,1806755.72,1870238.957,2042102.0259999998,0.0,0.0,1652073.264
91,239.05891609999998,7.588808332999999,2663090.812,0.0,0.0,0.0,0.0,0.0
92,384.93502810000007,0.231585417,559251.0744,928728.9239,475606.2096,1198268.8159999999,0.0,442464.6843
93,142.927809,8.416722222,2419293.832,2429605.71,1513087.295,2045350.2030000002,0.0,0.0
94,743.1395193,8.074503846,2032641.731,1604778.049,2874533.204,3080594.769,0.0,0.0
95,239.90245269999997,0.069114286,3876803.5560000003,0.0,3666570.433,4998780.808999999,0.0,3829984.057
96,173.9253292,3.483141667,3577987.913,0.0,0.0,0.0,0.0,0.0
97,291.160436,3.5589888889999997,2555142.801,0.0,0.0,0.0,0.0,0.0
98,265.147998,3.527396667,4126176.8910000003,0.0,0.0,592847.4187,0.0,0.0
99,160.9171467,8.405902082999999,1993864.031,1800146.885,1586460.41,1662958.175,0.0,0.0
100,258.9158159,8.649665152,4563719.572,0.0,0.0,0.0,0.0,0.0
101,244.84815719999997,8.40475,1181964.74,1466177.2219999998,1366579.404,1265433.72,0.0,0.0
102,195.02912450000002,2.348153333,2450316.768,1156714.913,942595.3101,0.0,0.0,0.0
103,378.91804049999996,0.231493333,806518.0965,1109234.992,0.0,1010060.401,0.0,1130952.5790000001
104,173.08086780000002,1.3611,2929678.52,3424713.6180000002,2756660.005,0.0,0.0,0.0
105,171.9461835,3.527708333,3324865.026,0.0,0.0,0.0,0.0,0.0
106,178.9766647,0.050956667000000004,3222432.2810000004,2929165.5930000003,0.0,0.0,0.0,0.0
107,194.9053345,3.6029866669999997,3001151.666,0.0,0.0,836445.6027,0.0,0.0
108,285.9083862,8.893295833,3564573.96,3711310.2210000004,3620918.381,0.0,0.0,0.0
109,667.1411437999999,7.742783332999999,1028558.625,761091.5101,1662684.86,0.0,0.0,0.0
110,198.8635883,8.40745,1082487.48,1304901.257,1306218.937,1176849.8329999999,0.0,0.0
111,1011.201602,8.296255833,1636028.7240000002,909546.0358,2116533.715,2194722.708,0.0,1445120.4880000001
112,671.0996322999999,7.209191667000001,962072.8862,0.0,1480121.532,0.0,0.0,0.0
113,184.86288069999998,8.405647222,829783.4554,951024.9136,991800.7423,918458.4251,0.0,0.0
114,151.0389873,0.10982619,2915998.253,0.0,0.0,6580351.165,0.0,0.0
115,320.8861847,0.038741667,2966451.352,0.0,2289834.775,0.0,0.0,0.0
116,186.11254630000002,1.260161111,1078648.038,1502257.0269999998,724778.1218,0.0,0.0,0.0
117,521.0812352,7.468947222000001,1897552.1469999999,1897308.976,3096238.539,0.0,0.0,0.0
118,218.80873739999998,0.258530556,756642.3952,0.0,409613.5553,0.0,0.0,2015350.9619999998
119,228.99378199999998,8.333886111,2584467.844,0.0,0.0,0.0,0.0,0.0
120,239.05909580000002,8.3677,1848944.65,0.0,0.0,0.0,0.0,0.0
121,134.8640459,0.261994444,1669528.1619999998,0.0,1404425.0880000002,0.0,0.0,2384599.8340000003
122,132.86651799999999,0.25879583300000003,1641685.5990000002,1404790.115,0.0,0.0,0.0,2326193.603
123,180.9724706,0.066472222,2621403.222,0.0,0.0,0.0,0.0,2273880.498
124,1025.162623,7.942414368,1162008.607,0.0,1443545.737,1919743.535,0.0,843952.6826
125,216.80858990000002,0.2595,644859.8145,0.0,358291.3942,0.0,0.0,1674948.51
126,200.9237777,8.322799074,2035621.4230000002,0.0,1999533.657,1505513.6169999999,0.0,0.0
127,452.92242999999996,0.231735417,292373.4029,0.0,243836.53699999998,775772.4756,0.0,220829.7949
128,315.1814575,3.1338633330000003,1046848.305,1085680.939,1038530.775,0.0,0.0,0.0
129,293.17609980000003,3.4044,1043702.4040000001,1062802.072,1034275.022,0.0,0.0,0.0
130,445.08494569999993,6.678021429,960334.1574,2106962.119,1994734.9740000002,0.0,0.0,0.0
131,215.12829590000004,2.48925,906741.2661,914735.3066,915431.0087,0.0,0.0,0.0
132,243.0428505,3.438191667,1791870.707,0.0,0.0,0.0,0.0,0.0
133,162.8379239,0.258493939,451475.4148,0.0,165570.7103,3781620.1769999997,0.0,284733.088
134,160.8409095,0.260035897,454500.6347,0.0,198717.2803,3973448.231,0.0,291379.6728
135,146.9598737,0.11772619,2057252.375,0.0,0.0,0.0,0.0,1855906.5259999998
136,815.1790643999999,7.630806944,1180582.654,862284.6665,1806060.644,0.0,0.0,0.0
137,239.0591736,3.051504167,828372.7258,1193374.423,632697.8428,0.0,0.0,0.0
138,313.07907489999997,8.362563889,1340280.082,0.0,0.0,0.0,0.0,0.0
139,544.0387306,6.164214583,813272.7157,593912.3648,0.0,0.0,0.0,0.0
140,965.1955736,7.983335185,1096594.513,0.0,0.0,1818064.366,0.0,0.0
141,145.9295845,0.06235,1608871.858,1688911.273,1643201.971,2288602.223,0.0,0.0
142,164.9261271,0.257996296,785934.8551,649402.6081,628951.9148,2216466.973,0.0,1161324.672
143,231.93122480000002,0.07205555599999999,1693872.227,0.0,0.0,2558765.3140000002,0.0,0.0
144,521.0830061,6.712318519,548233.5017,0.0,1680897.747,0.0,509166.8162,763801.6437
145,223.0277125,7.58525,953577.8859,0.0,0.0,0.0,0.0,0.0
146,217.80934649999998,0.255633333,354428.3565,0.0,196264.2367,0.0,0.0,1018988.561
147,817.159317,7.942734091,895378.6426,653097.4918,1260364.321,1498838.98,0.0,677707.8057
148,239.05891040000003,7.336647222000001,702384.2729999999,3271931.1980000003,682285.7963,0.0,0.0,0.0
149,965.1949538999999,7.4921125,741331.3082,0.0,3353128.848,0.0,0.0,0.0
150,215.86799010000001,0.259498889,300550.967,0.0,0.0,2389478.961,0.0,397693.7563
151,191.94528490000002,0.274677564,575561.3239,571604.8044,545513.9943,526480.8714,0.0,679117.5487
152,351.18303530000003,3.487636667,851488.4119,0.0,0.0,0.0,0.0,0.0
153,192.9972831,3.4709240739999996,980972.6232,0.0,0.0,0.0,0.0,0.0
154,803.1961263,7.333208332999999,444683.7489,1575030.759,530599.2129,0.0,0.0,0.0
155,353.1980794,3.3739388889999997,621219.4971,0.0,0.0,0.0,0.0,0.0
156,671.1000137,7.011204167000001,670064.662,1654067.3469999998,913260.3607,0.0,0.0,0.0
157,697.1453687999999,6.549075926,389492.471,505002.2533,538477.7124,0.0,0.0,0.0
158,336.8593572,0.029177777999999998,916807.1339,0.0,568847.164,1063529.572,0.0,0.0
159,165.0400289,8.362573148,661067.0232,0.0,0.0,0.0,0.0,0.0
160,309.1744337,4.984766667,496624.9235,564658.7644,608542.8587,518174.6895,0.0,1279698.624
161,535.1351143999999,6.678621429,362593.4156,788295.1773,759471.4920000001,0.0,0.0,0.0
162,230.9557642,8.879490476,958216.9044,0.0,0.0,0.0,0.0,0.0
163,657.1391941,6.5485462960000005,261501.796,0.0,958202.6104,0.0,0.0,0.0
164,381.1740479,6.35776,496828.4424,512175.07700000005,2187859.418,0.0,0.0,0.0
165,611.1334339,6.545027273,231296.255,0.0,926820.2740000001,0.0,0.0,0.0
166,343.08246299999996,4.8834666669999995,360421.3859,345854.4107,311075.2015,393949.2367,0.0,453857.4343
167,129.97443810000001,0.27177575800000003,339097.9257,430501.3394,347787.6588,0.0,0.0,0.0
168,244.96096040000003,0.33990833299999995,155047.6986,0.0,0.0,75530.68234,0.0,0.0
169,951.2352261,7.669877777999999,354865.4399,1560428.667,1659391.322,0.0,0.0,0.0
170,126.903608,0.28195952399999996,168957.6686,274774.6481,215354.7573,3724586.5089999996,0.0,0.0
171,224.80295049999998,0.27585,156397.4846,198335.5294,135361.3651,3142916.905,0.0,0.0
172,315.18181360000005,3.264827778,310709.7032,0.0,0.0,0.0,0.0,0.0
173,195.0657785,3.62522619,412779.2129,0.0,0.0,896430.9083,0.0,0.0
174,1025.254712,8.2401225,159418.2911,0.0,224506.7166,196075.3232,0.0,106110.7409
175,250.1446387,4.907367391,200608.1503,132274.5558,208536.7318,163754.3958,0.0,338483.696
176,226.8006706,0.275808333,101431.0447,133752.1309,107170.80900000001,2272926.558,0.0,0.0
177,353.1638165,6.2714729170000005,157814.2958,102649.0066,404631.2617,0.0,0.0,0.0
178,343.0829442,3.580741667,243156.4302,0.0,0.0,0.0,0.0,0.0
179,277.9363098,0.32963333300000003,63245.299510000004,0.0,0.0,0.0,0.0,0.0
180,435.08215099999995,4.595114103,115687.2187,84350.35621,135835.3574,205747.4597,0.0,131658.3989
181,243.042572,8.301825,340619.9575,0.0,0.0,0.0,0.0,0.0
182,285.2072673,4.107198039,133561.2483,128865.8501,132383.755,0.0,0.0,300051.0988
183,381.1950623,6.780513332999999,90456.0999,97422.91433,104440.4272,0.0,0.0,0.0
184,441.1921886,4.325416667,100231.1574,98152.4325,85410.15677999999,162075.6562,0.0,86576.60548
185,214.9277344,0.32963333300000003,69760.78541,0.0,0.0,0.0,0.0,0.0
186,255.2326406,6.262377777999999,87506.9389,0.0,6349199.297,0.0,0.0,0.0
187,139.00590449999999,0.387662121,56437.04064,0.0,0.0,1046623.063,0.0,0.0
188,227.1653086,3.6028111110000003,142420.948,0.0,0.0,0.0,0.0,0.0
189,367.2487183,4.613433333,0.0,29057188.35,2862873.539,0.0,0.0,0.0
190,192.9975935,7.265111905,0.0,16214685.14,0.0,0.0,0.0,0.0
191,297.7331772,8.458525,0.0,1898293.996,2335215.349,0.0,0.0,0.0
192,312.8363245,7.40484697,0.0,15196870.42,0.0,0.0,0.0,6503846.8889999995
193,184.92866130000002,7.417220832999999,0.0,11358729.1,0.0,0.0,0.0,0.0
194,252.91694980000003,7.381135185,0.0,8886888.733,0.0,0.0,0.0,0.0
195,365.23399539999997,4.66268125,0.0,5153835.069,773322.103,0.0,0.0,230247.3772
196,521.0830824,6.7216074070000005,0.0,3706851.173,0.0,800565.3744,0.0,606137.5675
197,134.8932648,7.4107833329999995,0.0,9418970.136,0.0,0.0,0.0,0.0
198,192.9970856,7.515891667000001,0.0,6516695.847,0.0,0.0,215020.1838,0.0
199,239.90274240000002,8.743320833,0.0,10439483.29,0.0,0.0,0.0,0.0
200,328.8302231,8.4404125,0.0,2360795.669,0.0,2798028.935,0.0,0.0
201,248.9599915,7.2908166670000005,0.0,4112686.106,0.0,0.0,0.0,0.0
202,169.98103840000002,7.344011111,0.0,3629955.45,0.0,0.0,0.0,0.0
203,657.1389922999999,6.575669444,0.0,2087568.88,0.0,403880.9162,0.0,273226.6568
204,611.133194,6.574211111,0.0,1926293.99,0.0,411959.5477,0.0,264357.2701
205,157.0104465,7.3199625,0.0,3199661.166,0.0,0.0,0.0,0.0
206,316.94769289999994,7.2908166670000005,0.0,2994831.9560000002,0.0,0.0,0.0,0.0
207,200.9236526,7.4006,0.0,3532960.213,0.0,0.0,0.0,0.0
208,208.92663290000002,7.380814582999999,0.0,2966785.626,0.0,0.0,0.0,0.0
