feature_id,row m/z,rtinseconds,POS_004_Acetylportentol.mzXML Peak area,POS_007_12_Desoxydiacetylpyxinol.mzXML Peak area,POS_008_12_Desoxypyxinol.mzXML Peak area,POS_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,POS_011_Bourgeanic_acid.mzXML Peak area,POS_012_Caperatic_acid.mzXML Peak area
131,482.4054871,5.623946667,0.0,4827735.444,4435321.151000001,5512953.274,0.0,0.0
132,230.2482605,3.43234375,0.0,3006728.652,3077412.582,2527999.325,0.0,0.0
133,438.37920379999997,5.630585417000001,0.0,4802797.52,4357026.744,5276305.203,0.0,0.0
134,817.1950977000001,7.6198440000000005,1793244.6369999999,3525935.111,2455358.221,1016983.942,0.0,3670342.973
135,157.0353363,0.27169,0.0,996894.5879,799904.5844,1495181.8180000002,0.0,0.0
136,217.04725730000004,2.355809259,0.0,3911224.417,3879813.909,4204444.068,0.0,0.0
137,184.9859706,3.409133333,0.0,3455204.749,0.0,0.0,0.0,0.0
138,463.1305607,5.579709524,0.0,2110655.676,1084010.53,973213.9766,0.0,0.0
139,244.19085499999997,2.636570833,0.0,2180534.251,1966364.081,4638807.732,0.0,0.0
140,984.2355804,8.003563542,1286814.439,2251334.056,1286641.402,725589.1631,0.0,0.0
141,480.1575343,5.578294444,0.0,2071034.324,1049412.422,1025662.016,0.0,0.0
142,557.1747665,6.17905,0.0,1787403.371,1722449.5769999998,637031.6764,0.0,0.0
143,226.1801787,2.642007692,0.0,2018050.7959999999,1900740.2969999998,4162077.768,0.0,0.0
144,517.3558838,6.902063332999999,0.0,2579554.153,2525044.72,2264070.913,0.0,0.0
145,526.4317128,5.612381817999999,0.0,3990636.3419999997,3737795.7989999996,4676980.74,0.0,0.0
146,508.1889374,5.579476667000001,0.0,1748991.086,929753.6381,890316.0425,0.0,0.0
147,205.1436253,2.6392708330000003,0.0,2696361.0289999996,2571329.207,2425038.341,0.0,0.0
148,251.16182859999998,2.4997816669999997,0.0,3965624.852,3726075.082,2918237.466,0.0,0.0
149,531.4088866999999,7.468806667000001,0.0,1666866.985,1469525.1469999999,1415764.576,0.0,1692535.004
150,211.16934369999998,2.01597963,1652517.358,1918355.6090000002,1785043.4919999999,1620569.3190000001,0.0,0.0
151,393.297522,6.82384,0.0,2343890.538,1787898.936,2563848.767,0.0,0.0
152,376.06044260000004,3.490513889,0.0,3325704.1569999997,3509835.5939999996,3328344.242,0.0,0.0
153,640.5879173,6.463714583,0.0,1893150.164,1739238.927,1931720.418,0.0,0.0
154,700.2356312999999,7.7658949999999995,0.0,1133531.058,1072951.256,440395.2152,0.0,1347800.8069999998
155,686.18396,7.462552082999999,0.0,1132268.449,905678.4774,618007.0724,1500219.0590000001,0.0
156,894.1883684000001,7.974357576,1120894.952,1797972.1269999999,1453135.0019999999,558024.3682,0.0,0.0
157,708.5124706,8.05310303,2606945.47,2700789.921,2658573.756,2946298.2569999998,0.0,0.0
158,394.3530146,5.629336111000001,0.0,3842324.9469999997,3443012.425,4225411.776000001,0.0,0.0
159,284.33128589999995,4.611079487,1988360.594,2413745.931,2371324.656,2350231.259,0.0,0.0
160,279.1591297,4.834477273,2875620.8430000003,3099869.5360000003,3348873.915,2577697.434,0.0,0.0
161,318.3004761,3.2974333330000003,0.0,1376628.2969999998,1494328.915,1152113.393,0.0,0.0
162,834.2558261,8.381240909,0.0,1438255.274,1432608.707,318796.9846,0.0,0.0
163,416.37363619999996,6.822527083,0.0,2554569.046,2210984.8340000003,2910613.832,0.0,0.0
164,226.9516106,6.9645916670000005,0.0,1557113.342,0.0,0.0,0.0,0.0
