row ID,row m/z,row retention time,POS_004_Acetylportentol.mzXML Peak area,POS_007_12_Desoxydiacetylpyxinol.mzXML Peak area,POS_008_12_Desoxypyxinol.mzXML Peak area,POS_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,POS_011_Bourgeanic_acid.mzXML Peak area,POS_012_Caperatic_acid.mzXML Peak area
148,251.1618286,2.499781667,3505123.892,3965624.852,3726075.082,2918237.466,3940793.907,4001833.153
151,393.297522,6.82384,2521267.365,2343890.538,1787898.936,2563848.767,0.0,2057170.977
152,376.0604426,3.490513889,0.0,3325704.157,3509835.594,3328344.242,0.0,0.0
154,700.2356312999999,7.765894999999999,0.0,1133531.058,1072951.256,440395.2152,910329.6953,1347800.8069999998
155,686.18396,7.462552082999999,700479.3168,1132268.449,905678.4774,618007.0724,1500219.059,1538859.471
157,708.5124706,8.05310303,2606945.47,2700789.921,2658573.756,2946298.257,3843911.782,2545253.893
159,284.33128589999995,4.611079487,1988360.594,2413745.931,2371324.656,2350231.259,2407831.856,2434226.97
160,279.1591297,4.834477273,2875620.8430000003,3099869.5360000003,3348873.915,2577697.434,3984715.729,3932278.384
163,416.3736362,6.822527083,0.0,2554569.046,2210984.8340000003,2910613.832,0.0,0.0
164,226.9516106,6.9645916670000005,0.0,1557113.342,0.0,0.0,0.0,0.0
168,779.1510456,7.762532051,4211355.473,2285837.404,0.0,0.0,0.0,0.0
170,194.1177702,6.96945,0.0,1343810.92,0.0,0.0,0.0,0.0
171,878.2841056,7.590585713999999,641726.9166,1056560.501,0.0,498074.334,0.0,1087600.209
172,191.1043142,2.093425,4173683.363,3948480.372,4054002.267,3792624.214,0.0,0.0
175,341.0939102,4.647466667,2021212.842,2050234.973,2113018.394,1935741.485,2063122.111,2197821.832
176,430.38938600000006,5.008881667,1491159.043,1558860.523,1547050.408,1507066.063,1800807.2680000002,2167446.317
178,178.1227631,8.408669999999999,0.0,2382731.9590000003,2415322.328,2308170.88,2732171.238,2327511.182
179,575.1057892000001,6.175883333,659645.1124,1346271.695,0.0,430451.9363,0.0,1279313.728
180,419.315814,7.15451875,0.0,2485988.247,1523299.736,1644471.0880000002,1968079.309,1873973.529
181,744.2062798,7.448102082999999,0.0,2186405.339,0.0,0.0,70224.45942999999,2186269.976
182,380.3373093,5.466413332999999,2326353.788,2187496.473,2160461.451,2476467.227,0.0,0.0
185,424.3634866,5.382007576,2428265.57,2304012.519,2337957.325,2903711.765,0.0,0.0
187,163.13295209999998,1.695816667,2784560.38,2909337.169,2670881.436,3083059.084,0.0,2797019.204
189,245.1514282,3.828538095,3436524.605,3515705.753,3841652.269,0.0,0.0,0.0
190,287.8883266,8.9662625,0.0,1296472.058,0.0,0.0,0.0,0.0
192,124.0872033,6.966477273,0.0,997907.8734,0.0,0.0,0.0,0.0
199,598.1487325,7.108308332999999,378869.5769,904214.8428,474908.8751,192197.7451,0.0,942815.5431
200,309.22715760000006,1.986497917,1604693.872,1697006.9319999998,1691984.975,1570401.217,0.0,0.0
202,305.20923460000006,3.42886,3005621.019,3508615.56,4134750.713,3643650.19,4037286.082,0.0
203,614.1815663,7.93309058,3926812.323,823839.0354,2340309.3230000003,1010070.503,50134002.66,11581074.06
204,239.1491063,8.409894443999999,0.0,1591702.823,0.0,0.0,0.0,0.0
205,158.15413769999998,6.960572619,0.0,974248.8489,0.0,0.0,0.0,0.0
207,269.1361483,1.831091026,2004783.669,2325065.379,2547131.302,1722676.23,2357113.776,730026.3342
209,952.300487,7.869947618999999,473494.1446,962827.0226,816325.7271,635262.8645,0.0,0.0
210,130.15924070000003,6.963259091,0.0,797496.0414,0.0,0.0,0.0,0.0
211,163.0391131,6.96209697,0.0,960747.2982,0.0,0.0,0.0,0.0
212,947.2863445,8.138577083,0.0,2671833.325,1894301.734,0.0,0.0,0.0
213,436.3420181,6.8179,0.0,1564587.8930000002,1363217.071,1524920.379,0.0,0.0
214,391.2462336,4.613613889,0.0,1062626.104,153732.9666,0.0,32607.02635,0.0
216,626.2161607,7.489711538,434001.0739,804673.2017,561832.3283,284438.7824,548966.0107,931164.6188
217,414.3218323,4.60522,0.0,992895.5139,157725.2739,0.0,0.0,0.0
220,384.2748154,4.657340833,0.0,1061576.523,173159.2168,0.0,0.0,0.0
221,797.162693,7.337197917,0.0,661804.1745,451940.0507,236748.4244,553313.814,698427.6087
223,965.2959502999998,7.877369167,443735.5291,767512.3567,452947.3544,315469.4285,0.0,0.0
224,185.9845718,0.51877,0.0,1522775.97,1446374.552,2071248.73,0.0,0.0
226,716.2306335,7.0387066670000005,0.0,621131.7783,253358.7504,180395.435,0.0,0.0
227,1177.209608,8.110669298,461802.3915,2002132.423,1930805.319,0.0,0.0,0.0
228,158.1542021,3.201285714,0.0,1236031.97,1017408.19,0.0,0.0,0.0
229,151.1118719,2.111835897,2223346.3340000003,2236920.684,2231916.688,2073638.848,0.0,0.0
230,225.1098502,0.8904047620000001,0.0,2323825.801,0.0,0.0,0.0,0.0
232,372.1361084,4.3498486110000005,1146080.976,1109420.023,1118780.875,979182.0983,0.0,0.0
233,191.1793633,7.2189375,0.0,1045761.631,0.0,0.0,0.0,0.0
234,367.24796989999993,4.646937121000001,0.0,749549.9784,119679.741,0.0,0.0,0.0
235,1074.293344,8.236980769,0.0,1306882.187,1460547.136,0.0,0.0,1450112.273
237,224.1856828,1.5882742419999998,1679523.85,1655677.626,1685401.091,1737976.096,0.0,0.0
238,291.25307860000004,4.606016667,986209.2831,947697.7553,927450.0735,1005053.909,0.0,0.0
240,540.1629397999999,7.620992105,1318595.665,562692.9805,1029005.877,623972.7501,0.0,3592454.6580000003
241,295.1516987,1.663393785,1488557.1730000002,1507292.1409999998,1572019.9530000002,1295220.39,0.0,0.0
242,938.2853088,7.493008333,0.0,1124758.584,0.0,0.0,0.0,0.0
243,873.267643,7.645510417000001,337058.9062,1363248.147,0.0,0.0,0.0,0.0
244,1012.267653,8.341125641,0.0,975655.3994,643303.582,306162.8425,0.0,0.0
245,239.08904500000003,1.4886433330000002,2405585.331,1401233.0880000002,1495515.439,1313135.981,15994786.86,3110942.94
248,672.1684318,7.389412644,0.0,438395.5944,244270.1791,95120.72732,362761.2513,0.0
249,386.1518651,4.64921358,766287.7693,848689.2498,840812.8771,758977.6113,0.0,0.0
250,389.1119034,4.887335,365655.3295,464983.0141,307688.1892,318758.8513,1009544.287,619448.4
252,818.2253082000001,8.371455000000001,0.0,595305.5091,0.0,0.0,0.0,0.0
255,226.9539102,0.111238462,0.0,1320162.0259999998,0.0,0.0,0.0,0.0
256,330.2640934,4.679675,1136516.885,1390672.009,1660957.44,970927.5325,1659457.803,0.0
257,249.1849074,4.380269792,0.0,661269.3084,400311.0292,176416.4012,0.0,0.0
